timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-04-10T00:00:00Z,11.01732951,12.43645175,10.85896432,12.11421152,747059263.93,11.01560252,12.42780204,10.85639274,12.11482479,343619845.73,,343619845,14755447,323886944,64797025
2022-04-09T00:00:00Z,10.83705666,11.11384648,10.66184645,11.02875348,294220424.06,10.83011031,11.11779055,10.66822725,11.02694729,91202748.18,,91202748,3980181,145244584,53792909
2022-04-08T00:00:00Z,11.21303938,11.62888898,10.69648484,10.81023598,626744535.38,11.20907922,11.61926984,10.69541097,10.80787654,203041167.96,,203041167,6273523,309771758,107658084
2022-04-07T00:00:00Z,10.70001171,11.34083417,10.67415599,11.21819912,666169577.18,10.69765080,11.33857690,10.68044635,11.21682905,232648464.31,,232648464,6456513,350868499,76196099
2022-04-06T00:00:00Z,11.65623624,12.04597318,10.55569423,10.70342633,945562471.55,11.65427254,12.01680461,10.55118737,10.70110492,328258306.21,,328258306,9516374,408453118,199334672
2022-04-05T00:00:00Z,11.96579526,12.84401301,11.56218422,11.68239399,861083515.93,11.96818963,12.83130630,11.55410946,11.67628832,328337381.07,,328337381,11113778,443947757,77684598
2022-04-04T00:00:00Z,12.41666932,12.45433058,11.20159945,11.96319505,673790013.67,12.41479625,12.45638034,11.22156057,11.96481106,262797009.85,,262797009,7954156,364940255,38098591
2022-04-03T00:00:00Z,12.47416347,12.98791702,11.90185967,12.42653372,632526708.14,12.46796466,12.99028353,11.92409392,12.42431878,278209974.10,,278209974,8440627,302863812,43012293
2022-04-02T00:00:00Z,12.86555389,13.85852077,12.39654268,12.46519442,889732459.16,12.85886368,13.85256469,12.39102165,12.45857707,364587455.04,,364587455,10347146,478749984,36047873
2022-04-01T00:00:00Z,12.74999294,13.64939661,12.29156350,12.85245409,899118968.97,12.74911619,13.65859991,12.31530496,12.85489108,352047444.72,,352047444,13052545,472077770,61941207
2022-03-31T00:00:00Z,14.25677363,14.42872656,12.52040467,12.75376330,1010272689.63,14.25569543,14.41811257,12.54769264,12.74675540,447932117.08,,447932117,14983946,496906053,50450572
2022-03-30T00:00:00Z,13.64847713,14.62493793,13.08212098,14.23299787,1391272521.89,13.64637710,14.63197705,13.09143641,14.24720133,591123864.93,,591123864,17628297,730575373,51944985
2022-03-29T00:00:00Z,14.04473290,14.56989501,13.30796554,13.58252248,1203214285.44,14.04556104,14.57233991,13.32291860,13.57534767,484524698.83,,484524698,15381105,630117302,73191178
2022-03-28T00:00:00Z,14.31637537,15.63138866,13.90208218,14.06670501,1960052018.65,14.29307379,15.65504889,13.91786963,14.05378578,794476313.45,,794476313,23358887,1012477087,129739729
2022-03-27T00:00:00Z,13.86995974,14.43252092,13.36128106,14.30402399,1384891895.71,13.87653810,14.45511776,13.38267173,14.30741706,532946746.56,,532946746,14778857,756673088,80493203
